date,value
2011-09-01,21.5
2011-12-01,21.6
2012-03-01,24.43
2012-06-01,25.71
2012-09-01,27.49
2012-12-01,30.36
2013-03-01,34.24
2013-06-01,35.64
2013-09-01,38.01
2013-12-01,41.43
2014-03-01,46.13
2014-06-01,47.99
2014-09-01,50.65
2014-12-01,54.48
2015-03-01,59.62
2015-06-01,62.08
2015-09-01,66.02
2015-12-01,70.84
2016-03-01,77.71
2016-06-01,79.9
2016-09-01,83.28
2016-12-01,89.09
2017-03-01,94.36
2017-06-01,99.04
2017-09-01,104.02
2017-12-01,110.64
2018-03-01,118.9
2018-06-01,124.35
2018-09-01,130.42
2018-12-01,139.26
2019-03-01,148.86
2019-06-01,151.56
2019-09-01,153.56
2019-12-01,154.56
2020-03-01,167.9

